prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,32,128,21.728
16,256,32,256,26.784
16,256,32,512,38.656
16,256,32,1024,55.84
16,256,32,2048,91.456
16,256,32,4096,163.552
16,256,32,8192,301.824
16,256,32,16384,579.744
16,256,64,16,25.089
16,256,64,32,24.576
16,256,64,64,25.92
16,256,64,128,31.584
16,256,64,256,40.928
16,256,64,512,61.12
16,256,64,1024,95.072
16,256,64,2048,163.36
16,256,64,4096,301.601
16,256,64,8192,581.25
16,256,64,16384,1138.5
16,256,128,16,38.08
16,256,128,32,38.368
16,256,128,64,40.16
16,256,128,128,51.584
16,256,128,256,67.232
16,256,128,512,107.136
16,256,128,1024,172.737
16,256,128,2048,308.16
16,256,128,4096,583.073
16,256,128,8192,1135.46
16,256,128,16384,2240.58
16,512,0,0,17.344
16,512,1,16,17.056
16,512,1,32,16.704
16,512,1,64,16.864
16,512,1,128,16.992
16,512,1,256,17.088
16,512,1,512,17.12
16,512,1,1024,17.216
16,512,1,2048,17.76
16,512,1,4096,20.64
16,512,1,8192,25.696
16,512,1,16384,34.496
16,512,2,16,16.736
16,512,2,32,17.024
16,512,2,64,16.992
16,512,2,128,17.088
16,512,2,256,17.12
16,512,2,512,18.112
16,512,2,1024,18.368
16,512,2,2048,21.119
16,512,2,4096,25.216
16,512,2,8192,38.753
16,512,2,16384,58.305
16,512,4,16,17.344
16,512,4,32,17.568
16,512,4,64,17.824
16,512,4,128,17.696
16,512,4,256,18.432
16,512,4,512,17.888
16,512,4,1024,20.896
16,512,4,2048,30.081
16,512,4,4096,43.168
16,512,4,8192,60.352
16,512,4,16384,94.976
16,512,8,16,17.312
16,512,8,32,17.376
16,512,8,64,17.504
16,512,8,128,18.496
16,512,8,256,23.232
16,512,8,512,25.504
16,512,8,1024,31.552
16,512,8,2048,44.224
16,512,8,4096,61.376
16,512,8,8192,95.104
16,512,8,16384,161.568
16,512,16,16,20.704
16,512,16,32,21.12
16,512,16,64,21.568
16,512,16,128,24.288
16,512,16,256,28
16,512,16,512,32.896
16,512,16,1024,45.216
16,512,16,2048,59.904
16,512,16,4096,94.912
16,512,16,8192,162.24
16,512,16,16384,305.793
16,512,32,16,24.832
16,512,32,32,24.32
16,512,32,64,25.568
16,512,32,128,26.464
16,512,32,256,30.496
16,512,32,512,38.912
16,512,32,1024,57.056
16,512,32,2048,91.936
16,512,32,4096,163.745
16,512,32,8192,305.281
16,512,32,16384,581.568
16,512,64,16,27.648
16,512,64,32,28.512
16,512,64,64,29.182
16,512,64,128,35.072
16,512,64,256,45.728
16,512,64,512,62.88
16,512,64,1024,96.544
16,512,64,2048,165.184
16,512,64,4096,303.328
16,512,64,8192,580.641
16,512,64,16384,1140.2
16,512,128,16,42.4
16,512,128,32,42.976
16,512,128,64,45.024
16,512,128,128,57.889
16,512,128,256,71.36
16,512,128,512,108.896
16,512,128,1024,175.488
16,512,128,2048,306.4
16,512,128,4096,582.082
16,512,128,8192,1133.19
16,512,128,16384,2244.52
16,1024,0,0,17.248
16,1024,1,16,17.376
16,1024,1,32,17.344
16,1024,1,64,17.472
16,1024,1,128,17.632
16,1024,1,256,17.824
16,1024,1,512,17.376
16,1024,1,1024,17.376
16,1024,1,2048,18.528
16,1024,1,4096,21.632
16,1024,1,8192,26.176
16,1024,1,16384,35.424
16,1024,2,16,17.504
16,1024,2,32,17.568
16,1024,2,64,17.504
16,1024,2,128,17.632
16,1024,2,256,17.728
16,1024,2,512,17.76
16,1024,2,1024,18.528
16,1024,2,2048,21.824
16,1024,2,4096,25.568
16,1024,2,8192,36.096
16,1024,2,16384,63.392
16,1024,4,16,18.016
16,1024,4,32,17.472
16,1024,4,64,17.888
16,1024,4,128,18.656
16,1024,4,256,18.816
16,1024,4,512,21.889
16,1024,4,1024,21.856
16,1024,4,2048,25.632
16,1024,4,4096,43.584
16,1024,4,8192,64.576
16,1024,4,16384,98.368
16,1024,8,16,18.56
16,1024,8,32,18.432
16,1024,8,64,18.624
16,1024,8,128,18.048
16,1024,8,256,20.288
16,1024,8,512,26.08
16,1024,8,1024,32.097
16,1024,8,2048,47.231
16,1024,8,4096,63.969
16,1024,8,8192,100.224
16,1024,8,16384,164.832
16,1024,16,16,21.728
16,1024,16,32,21.344
16,1024,16,64,21.6
16,1024,16,128,24.736
16,1024,16,256,28.544
16,1024,16,512,34.753
16,1024,16,1024,46.432
16,1024,16,2048,66.4
16,1024,16,4096,100.448
16,1024,16,8192,168.96
16,1024,16,16384,302.593
16,1024,32,16,25.152
16,1024,32,32,24.736
16,1024,32,64,25.952
16,1024,32,128,31.008
16,1024,32,256,36.608
16,1024,32,512,42.176
16,1024,32,1024,57.152
16,1024,32,2048,93.281
16,1024,32,4096,162.56
16,1024,32,8192,306.049
16,1024,32,16384,588.8
16,1024,64,16,31.072
16,1024,64,32,31.968
16,1024,64,64,32.32
16,1024,64,128,37.344
