layer,tokens,time_us
down_proj,5152,662.315
down_proj,5168,661.771
down_proj,5184,669.484
down_proj,5200,661.293
down_proj,5216,659.328
down_proj,5232,664.002
down_proj,5248,668.875
down_proj,5264,664.45
down_proj,5280,659.51
down_proj,5296,693.44
down_proj,5312,763.98
down_proj,5328,705.781
down_proj,5344,696.736
down_proj,5360,699.819
down_proj,5376,773.271
down_proj,5392,700.301
down_proj,5408,776.065
down_proj,5424,703.136
down_proj,5440,777.43
down_proj,5456,737.718
down_proj,5472,775.391
down_proj,5488,707.595
down_proj,5504,781.654
down_proj,5520,776.651
down_proj,5536,777.485
down_proj,5552,777.11
down_proj,5568,781.047
down_proj,5584,745.44
down_proj,5600,777.516
down_proj,5616,742.474
down_proj,5632,777.067
down_proj,5648,775.967
down_proj,5664,777.26
down_proj,5680,777.462
down_proj,5696,776.108
down_proj,5712,765.238
down_proj,5728,781.728
down_proj,5744,778.337
down_proj,5760,780.29
down_proj,5776,747.681
down_proj,5792,814.54
down_proj,5808,747.436
down_proj,5824,786.87
down_proj,5840,743.404
down_proj,5856,821.536
down_proj,5872,744.94
down_proj,5888,791.659
down_proj,5904,743.158
down_proj,5920,820.236
down_proj,5936,802.54
down_proj,5952,792.738
down_proj,5968,804.012
down_proj,5984,817.1
down_proj,6000,803.789
down_proj,6016,791.149
down_proj,6032,800.32
down_proj,6048,823.105
down_proj,6064,782.583
down_proj,6080,785.846
down_proj,6096,805.718
down_proj,6112,818.539
down_proj,6128,799.317
down_proj,6144,780.191
down_proj,6160,806.176
down_proj,6176,818.955
down_proj,6192,801.026
down_proj,6208,798.53
down_proj,6224,801.74
down_proj,6240,818.017
down_proj,6256,823.18
down_proj,6272,797.037
down_proj,6288,818.262
down_proj,6304,819.564
down_proj,6320,817.344
down_proj,6336,833.311
down_proj,6352,816.971
down_proj,6368,819.52
down_proj,6384,815.895
down_proj,6400,833.249
down_proj,6416,827.979
down_proj,6432,821.814
down_proj,6448,823.553
down_proj,6464,921.679
down_proj,6480,821.866
down_proj,6496,822.411
down_proj,6512,820.887
down_proj,6528,922.935
down_proj,6544,819.959
down_proj,6560,820.63
down_proj,6576,881.505
down_proj,6592,928.012
down_proj,6608,877.62
down_proj,6624,928.909
down_proj,6640,928.917
down_proj,6656,929.24
down_proj,6672,930.167
down_proj,6688,937.002
down_proj,6704,925.495
down_proj,6720,929.091
down_proj,6736,891.651
down_proj,6752,917.665
down_proj,6768,891.735
down_proj,6784,931.265
down_proj,6800,930.732
down_proj,6816,927.766
down_proj,6832,934.326
down_proj,6848,932.62
down_proj,6864,933.506
down_proj,6880,932.737
down_proj,6896,928.824
down_proj,6912,932.524
down_proj,6928,894.05
down_proj,6944,928.525
down_proj,6960,894.306
down_proj,6976,919.168
down_proj,6992,873.612
down_proj,7008,920.661
down_proj,7024,885.088
down_proj,7040,917.612
down_proj,7056,892.098
down_proj,7072,919.562
down_proj,7088,914.232
down_proj,7104,916.674
down_proj,7120,921.215
down_proj,7136,915.862
down_proj,7152,915.191
