feature_set,target,group,feature,coefficient_ms_per_sd,absolute_coefficient
state,e2e_ttft_ms,home_cell_load,home_workload_share,5.104695777848545,5.104695777848545
state,e2e_ttft_ms,routing_result,rerouted,0.43362966913220313,0.43362966913220313
state,e2e_ttft_ms,kv_movement,migration_tokens_realized,-23.5207212638693,23.5207212638693
state,e2e_ttft_ms,scheduler_state,scheduler_waiting_reqs_at_first_schedule,10.97321309462935,10.97321309462935
state,e2e_ttft_ms,scheduler_state,scheduler_scheduled_prefill_tokens,-95.31786404525926,95.31786404525926
state,e2e_ttft_ms,scheduler_state,scheduler_scheduled_decode_tokens,-339.9084776757514,339.9084776757514
state,e2e_ttft_ms,scheduler_state,scheduler_batch_num_seqs,364.19248868747883,364.19248868747883
state,e2e_ttft_ms,policy,policy_NEAREST_KV,12.24776505756504,12.24776505756504
state,e2e_ttft_ms,policy,policy_NEAREST_MIGRATE,-4.748051025688641,4.748051025688641
state,e2e_ttft_ms,policy,policy_NEAREST_MIGRATE_KV,-7.499714031907096,7.499714031907096
