request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
99,526,5,2,43.08818065,2,0,391.668102,13442.999441,381.767185,9.900917,2,0,391.668102,13442.999441,381.767185,9.900917,2,0,391.668102,13442.999441,381.767185,9.900917,0.0,0.0,0.0,0.0,neither
100,655,14,7,43.128514126,7,0,403.442264,15563.549571,389.49364,13.948624,7,0,403.442264,15563.549571,389.49364,13.948624,7,0,403.442264,15563.549571,389.49364,13.948624,0.0,0.0,0.0,0.0,neither
101,658,5,2,43.873739504,2,0,390.533082,15703.649553,384.290705,6.242377,2,0,390.533082,15703.649553,384.290705,6.242377,2,0,390.533082,15703.649553,384.290705,6.242377,0.0,0.0,0.0,0.0,neither
102,722,14,7,44.002707662,7,0,412.916818,16877.193784,393.314078,19.60274,7,0,412.916818,16877.193784,393.314078,19.60274,7,0,412.916818,16877.193784,393.314078,19.60274,0.0,0.0,0.0,0.0,neither
103,534,7,3,44.377305994,3,0,387.615983,13361.947208,381.560081,6.055902,3,0,387.615983,13361.947208,381.560081,6.055902,3,0,387.615983,13361.947208,381.560081,6.055902,0.0,0.0,0.0,0.0,neither
104,621,17,8,44.42456969,8,0,388.301558,17320.733378,377.90215,10.399408,8,0,388.301558,17320.733378,377.90215,10.399408,8,0,388.301558,17320.733378,377.90215,10.399408,0.0,0.0,0.0,0.0,neither
105,706,13,6,44.594688514,6,0,382.323737,15792.189109,377.80375,4.519987,6,0,382.323737,15792.189109,377.80375,4.519987,6,0,382.323737,15792.189109,377.80375,4.519987,0.0,0.0,0.0,0.0,neither
106,766,5,2,44.685110502,2,0,391.178757,17665.005175,388.92788,2.250877,2,0,391.178757,17665.005175,388.92788,2.250877,2,0,391.178757,17665.005175,388.92788,2.250877,0.0,0.0,0.0,0.0,neither
107,635,0,0,44.87502288,0,0,375.905939,14476.386726,374.048755,1.857184,0,0,375.905939,14476.386726,374.048755,1.857184,0,0,375.905939,14476.386726,374.048755,1.857184,0.0,0.0,0.0,0.0,neither
108,784,9,4,44.949540316,4,0,409.700087,26215.56684,405.479105,4.220982,4,0,391.831517,22918.622014,388.873233,2.958284,4,0,391.831517,22918.622014,388.873233,2.958284,-17.868569999999977,-17.868569999999977,0.0,0.0,neither
109,584,16,8,45.027700946,8,0,388.805713,16155.210282,381.387761,7.417952,8,0,388.805713,16155.210282,381.387761,7.417952,8,0,388.805713,16155.210282,381.387761,7.417952,0.0,0.0,0.0,0.0,neither
110,772,11,5,45.301877524,5,0,383.575508,20343.346933,378.398566,5.176942,5,0,579.282641,24728.027141,555.79814,23.484501,5,0,565.270497,24009.159334,552.949448,12.321049,195.707133,181.69498899999996,-14.012144000000035,-718.8678069999987,neither
111,679,10,5,45.560937776,5,0,506.334313,18039.93012,381.819057,124.515256,5,0,586.050369,22056.07986,565.319156,20.731213,5,0,571.312296,20545.243932,563.368246,7.94405,79.71605600000004,64.97798299999994,-14.7380730000001,-1510.8359280000004,neither
112,779,17,8,45.8946196,8,0,396.85816,20573.489289,392.048616,4.809544,8,0,396.85816,20573.489289,392.048616,4.809544,8,0,396.85816,20573.489289,392.048616,4.809544,0.0,0.0,0.0,0.0,neither
113,513,4,2,45.955859758,2,0,396.702563,12015.082471,392.841374,3.861189,2,0,396.702563,12015.082471,392.841374,3.861189,2,0,396.702563,12015.082471,392.841374,3.861189,0.0,0.0,0.0,0.0,neither
114,769,12,6,46.51951078,6,0,394.597534,16585.656589,381.458577,13.138957,6,0,394.597534,16585.656589,381.458577,13.138957,6,0,394.597534,16585.656589,381.458577,13.138957,0.0,0.0,0.0,0.0,neither
