test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,migration_tokens_realized,-0.0002826618081762794,0.0,-0.014617311354697904
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_waiting_reqs,0.001460529537242787,-0.0002881853205652929,-1.2034067722993314
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_running_reqs,0.0031323382218977,0.0,-0.11560319268753005
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_required_kv_bytes,0.00021617840602229654,0.0059540123685807855,23.034244074671733
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_available_kv_bytes,0.0031101364296250156,-0.0017298224950795804,-10.07313766145532
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_projected_active_kv_bytes,0.0031101364296250156,0.0006597108974864541,0.9170956306549556
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_capacity_pressure,0.003291897195105531,0.01740796847319087,17.173350392809056
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_slot_pressure,0.0031323382218949175,0.0,-0.11560319269651131
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_admissible_candidate_count,0.01270649760677145,0.02618475712228069,43.653558845707465
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_total_waiting_reqs,-0.00022806387996436583,-0.00482763861311869,-2.331258107450168
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_max_waiting_reqs,-0.00017031557246775103,-0.0010661205531138918,-2.4240841605388823
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_total_running_reqs,0.00047923101681000835,0.03534791194897269,39.85173772690271
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_max_running_reqs,7.94782920993109e-05,0.0,0.029845717267733107
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_min_available_kv_bytes,-0.0006561431268843204,0.04781164385619302,37.06669532985356
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_max_available_kv_bytes,-0.0007709919389317504,0.025846878532435724,31.038025769440907
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_min_capacity_pressure,-0.0003547341922768704,0.029735711931253295,46.53304090542068
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_max_capacity_pressure,-0.0005721608503589659,0.004944511817036035,12.889947794931487
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_waiting_reqs,-0.0006420639505999304,0.0008407736739339811,3.2017053547060357
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_running_reqs,1.1943998913382936e-05,0.0,0.0036894054848062297
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_available_kv_bytes,-0.00019560792247137054,0.00033348079379014184,-0.01624240996466142
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_projected_active_kv_bytes,-0.00019560792247137054,-0.0020600907839574134,-2.0085421548250793
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_capacity_pressure,-0.00032456658697426616,0.018076655771525563,25.088814837042065
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_slot_pressure,1.1943998933200417e-05,0.0,0.0036894054859146763
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_capacity_retry_count,0.0013893270811694142,0.5843413616643729,258.7473016629722
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,scheduler_waiting_reqs_at_first_schedule,4.117308872432501e-05,-0.0011932054571657802,-3.540711289224049
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,scheduler_scheduled_prefill_tokens,-0.00019673811786819623,0.0,0.013278721403025884
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,scheduler_scheduled_decode_tokens,-0.00019673815101007436,0.0,0.013278699801333005
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,scheduler_batch_num_seqs,-8.75281865331326e-05,0.001119834341606507,1.8576356951737978
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,input_tokens,0.00229939302021253,0.0,0.8838121310394911
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,output_tokens_actual,-0.0007808797133113353,-0.009343464517810318,-9.273649935827933
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,minimum_prefill_chunks,-0.0038612377092593943,0.0,-3.7313823310443297
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,nominal_reuse_tokens,0.0003047847196311383,0.0,0.13326854033033442
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,nominal_reuse_ratio,-0.0016998443605120636,0.0,-1.317933993573888
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,reuse_tokens_realized,0.00035617056350221304,0.0,-0.00032262078741496225
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,reuse_preservation_ratio,-0.0014817186130723047,0.0,-1.3322279678442897
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,reuse_lost,-0.00022326693912191192,0.0,-0.17523830177768218
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,realized_uncached_tokens,0.0005541842420169127,-0.0019251885858997952,0.298368582880272
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,request_rate_rps,0.00014524374695667336,0.0,-0.03313193922753044
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,offered_uncached_tokens_per_s,0.0009943953423985664,-0.023257769007284823,-21.719027256190543
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,arrival_offset_s,0.0009055678306261125,0.0021086658965737692,4.8825846894643234
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,interarrival_ms,8.424900886527809e-05,-0.004231782874325907,-18.73726600687337
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,global_arrivals_1s,-6.940895643798434e-05,-0.013181636896896609,-3.4070009445717346
